CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_Book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
CID-00011,Existing,26,M,3,High School,Married,$60K - $80K,Blue,27,3,1,4,5183.0,98,3472.868269612477,2.6000695879909874,4020,97,1.4908894504023207,0.0703872023100756
CID-00012,Attrited,55,M,2,High School,Married,Unknown,Gold,52,1,2,7,16175.25,2012,6791.841587390721,1.6429799110316714,4740,96,1.1077689591624336,0.13203927583751918
CID-00013,Existing,34,M,0,College,Married,Unknown,Silver,12,3,2,4,9497.0,280,7919.096309134498,0.9877424138863337,4905,88,3.218943453258832,0.3841836323064458
CID-00014,Existing,36,F,3,Doctorate,Unknown,$80K - $120K,Silver,44,2,4,5,3814.5,1744,1710.19798561249,1.4726344086886947,4293,49,3.416817107236269,0.14464727170098884
CID-00015,Existing,61,F,4,High School,Divorced,$80K - $120K,Blue,18,2,1,2,4693.5,2521,2370.973154745047,2.2900762079218033,6696,96,3.206451448789206,0.49492515559220085
CID-00016,Existing,21,M,0,College,Married,Less than $40K,Blue,14,6,5,3,3555.2999999999997,1391,3732.4878988009373,1.6471793212652437,6549,10,2.002006929574925,0.27599383047413145
CID-00017,Existing,65,M,0,High School,Married,$80K - $120K,Silver,18,1,3,4,5326.5,1457,1908.8401285308225,1.987379803418329,4119,49,1.3245837338862165,0.039855149462874585
CID-00018,Existing,28,M,2,Graduate,Married,$80K - $120K,Blue,12,2,2,2,7453.5,1020,4626.829771572625,2.7149219080867066,3750,29,2.055894600198336,0.2376625002585724
CID-00019,Existing,39,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,4,2419.2,2358,2222.394995574885,2.7838372597138883,8269,41,1.4061079179650786,0.3932773021456626
CID-00020,Existing,21,F,5,Uneducated,Married,$60K - $80K,Silver,18,3,4,0,4275.0,1358,3004.2779041500007,3.0675175067525333,3700,63,2.8568628803863563,0.1948436823823355
CID-00021,Existing,34,M,3,Uneducated,Married,$120K +,Silver,15,6,0,4,7630.5,1881,3918.3801099726284,2.4101105074372633,4378,58,3.2704754869893162,0.2364224751138369
CID-00022,Existing,25,M,4,College,Married,Unknown,Blue,29,3,1,3,3331.0,20,2336.551495784299,1.318234280628873,6970,83,2.4235265268879664,0.6765226723799571
CID-00023,Existing,63,F,2,High School,Divorced,$120K +,Blue,48,4,3,1,8041.5,1081,4155.497115367974,1.0114524482770033,5215,73,1.8263090428014688,0.5188933517806479
CID-00024,Existing,51,F,0,High School,Married,$40K - $60K,Silver,25,6,2,8,3828.0,1272,3227.3824606452113,2.9971569913213445,3131,33,1.8790474878925842,0.3873116608154897
CID-00025,Existing,28,M,5,Unknown,Single,$40K - $60K,Blue,26,4,3,2,4238.0,990,3345.5347193171674,2.4174193517011946,3446,78,3.188468630659543,0.22437359066025225
CID-00026,Existing,48,F,2,Post-Graduate,Married,$40K - $60K,Gold,36,1,4,5,9187.5,1223,5137.59477323113,1.6740665639441636,4486,13,1.757630406829418,0.027639546034547685
CID-00027,Existing,28,F,2,High School,Married,$80K - $120K,Silver,29,3,3,7,8119.5,1447,4133.177691759089,1.17945188539291,5789,25,0.5567342228550276,0.1542701255513695
CID-00028,Existing,55,M,2,High School,Married,$120K +,Silver,15,3,1,2,9313.5,1508,5229.08166771238,1.1154817806156778,3335,23,2.2462894690300805,0.0939111496582979
CID-00029,Existing,38,M,0,Graduate,Divorced,$120K +,Blue,13,5,2,5,8811.0,672,5087.7001128955035,2.1178627585001064,4343,33,2.6990607482918407,0.23955726752639273
CID-00030,Existing,63,M,1,College,Married,$120K +,Blue,54,6,2,3,4432.5,2210,1845.2473049358275,1.5172257163933356,4251,27,2.339478711895483,0.002992823568812203
CID-00031,Existing,47,M,2,Uneducated,Single,Less than $40K,Blue,37,2,4,4,3207.3999999999996,1049,2542.8427642396928,1.7072071303095657,4438,93,0.7716201844795272,0.643652238048328
CID-00032,Existing,27,M,1,Graduate,Single,Less than $40K,Blue,31,1,3,3,2669.1,3442,2914.489500135627,3.42035530023569,1328,44,1.0155253940069109,0.3686842949172545
CID-00033,Existing,43,M,5,Graduate,Married,Unknown,Blue,26,1,2,6,4923.0,3033,4736.127555603607,2.918879929819232,1060,60,0.5949484920460272,0.43736393579604615
CID-00034,Attrited,44,M,4,Graduate,Unknown,$120K +,Blue,17,6,5,3,6553.5,1609,3598.4013689113963,3.4244918460156852,3749,59,3.396450066897402,0.5939800419781988
CID-00035,Attrited,25,M,5,College,Married,$60K - $80K,Blue,48,2,2,4,6038.0,1316,5377.1209225335715,2.387959309120183,544,40,2.78557529434715,0.2824292794844768
CID-00036,Existing,56,M,4,Graduate,Married,$60K - $80K,Blue,54,5,0,1,6747.0,1751,5582.00880791498,0.7223440752794323,4027,33,2.1286983378956226,0.20287711792026605
CID-00037,Existing,25,M,4,Post-Graduate,Married,$60K - $80K,Blue,53,4,1,3,3940.0,1241,3405.938169359981,1.0576464479156822,5148,94,1.6400289736175575,0.33196541492504744
CID-00038,Existing,25,F,5,Graduate,Married,$60K - $80K,Blue,24,5,2,2,3993.0,1391,2739.253477645138,2.7292143057293488,5736,41,1.809214643760753,0.42069407856207114
CID-00039,Existing,51,F,3,Graduate,Married,$40K - $60K,Blue,27,4,1,7,7022.0,2274,6478.41084036363,3.150897733018123,1695,56,2.468901753410817,0.3250143128980764
CID-00040,Existing,33,M,0,Uneducated,Single,$60K - $80K,Gold,53,4,1,3,11226.0,694,6503.845462901558,0.9004691217296196,4467,28,1.2396255947782566,0.8263526879565484
CID-00041,Existing,58,M,1,High School,Married,$80K - $120K,Blue,49,5,2,2,8748.0,1198,4582.585712713053,2.763704304388189,3938,54,2.4304510918602897,0.7138787942334689
CID-00042,Existing,30,F,3,Graduate,Married,$40K - $60K,Blue,13,1,1,2,3268.0,1770,1929.955138918253,0.5919198534842578,4629,39,0.7987319911867861,0.5442424000646454
CID-00043,Existing,40,M,1,College,Married,Unknown,Blue,12,3,0,4,6393.0,923,5854.05259865402,1.5561616039466903,3394,89,3.4518259182040643,0.003464379774228021
CID-00044,Attrited,29,F,0,Post-Graduate,Single,$40K - $60K,Blue,16,1,3,5,6469.0,1566,5761.047300772268,1.079477949168325,2727,69,1.806309872496756,0.6263804006559907
CID-00045,Existing,44,M,2,High School,Married,$60K - $80K,Blue,41,3,2,5,7487.0,1063,6837.096558934806,0.6969688944230391,5334,89,1.8578601923914304,0.45651944842148173
CID-00046,Existing,39,F,5,Post-Graduate,Married,$60K - $80K,Blue,42,1,2,2,4252.0,2095,2904.8926074615943,2.668388948631246,2078,32,3.057357092167078,0.6934768120733288
CID-00047,Existing,49,M,3,High School,Single,$60K - $80K,Gold,54,5,1,2,12301.5,1207,7749.121585340388,1.8230708202184578,5820,36,2.736674866805058,0.13704045787301572
CID-00048,Existing,66,F,0,High School,Divorced,$40K - $60K,Blue,43,5,2,2,2579.0,2066,1889.2173244188161,1.7527651062089982,6299,66,3.3604127140206055,0.843429783489755
CID-00049,Existing,44,F,5,Post-Graduate,Married,$60K - $80K,Silver,14,5,3,0,6573.0,802,5702.748193397558,3.4030654923979733,990,20,1.5739748645863558,0.1869813700734597
CID-00050,Existing,19,F,3,Graduate,Married,Less than $40K,Gold,14,6,2,5,6933.15,860,6515.337169731125,1.540659604413876,4029,48,2.3599238805037603,0.3775436327539264
CID-00051,Attrited,62,F,4,Uneducated,Married,$40K - $60K,Blue,53,3,2,6,6751.0,2728,5467.163831967051,1.4270964827858523,2384,75,1.253987572978204,0.8008428862100212
CID-00052,Existing,50,M,3,Graduate,Unknown,$40K - $60K,Blue,16,1,0,7,1215.0,230,0.0,1.6659240731820462,2556,40,0.5525889267080921,0.09219153861390149
CID-00053,Attrited,43,M,2,Graduate,Married,Less than $40K,Blue,46,4,2,3,1592.5,1042,1277.8892629521174,1.0022614863781736,5399,60,2.4955023020184623,0.7018210952847039
CID-00054,Attrited,45,M,2,Unknown,Married,Unknown,Silver,33,6,3,3,6170.0,1334,5790.973957778853,1.4061129643791634,5155,62,2.036607143497414,0.2648315523005383
CID-00055,Existing,36,M,1,College,Married,$80K - $120K,Blue,43,1,0,2,9982.5,-64,5507.604201830824,2.701865831428096,6628,96,2.4974053934855456,0.8323433937144058
CID-00056,Attrited,60,M,3,High School,Single,$40K - $60K,Blue,34,1,2,2,4212.0,1268,2050.6009758370838,2.904881258944513,3404,91,2.808003614505841,0.7257560281089802
CID-00057,Existing,22,F,4,College,Single,Unknown,Silver,49,2,2,3,4629.0,-153,3435.551546982676,1.8475242661544733,2410,49,3.19096952730895,0.2541797950061008
CID-00058,Existing,50,F,2,College,Single,$40K - $60K,Blue,53,1,3,6,4558.0,1622,4275.358931993054,2.247346726968826,4844,26,1.3337890491624949,0.043663449639768405
CID-00059,Existing,37,M,1,College,Single,$40K - $60K,Blue,19,6,1,2,3824.0,1562,2795.249775091582,3.2133636511425205,5358,66,3.4858606585491456,0.6535643572017271
CID-00060,Existing,47,M,4,Unknown,Married,Less than $40K,Blue,15,4,3,2,6702.5,-378,8377.290453479072,1.105043427932447,3352,86,3.2049666565833723,0.7809617645005547
CID-00061,Existing,62,M,4,Uneducated,Single,$80K - $120K,Blue,17,1,1,5,10291.5,1264,5602.817984374704,2.2204745095555745,2492,90,1.8881814031248592,0.5576429294818452
CID-00062,Existing,25,F,4,Unknown,Married,$60K - $80K,Blue,38,2,4,4,3070.0,1250,2989.7453122697734,0.8957336728646996,3725,88,3.1482792287181254,0.6813026611404288
CID-00063,Existing,55,M,0,Unknown,Married,Less than $40K,Blue,56,2,2,3,4514.299999999999,1140,5199.173279187482,1.4981970226962744,4784,47,2.0107190882330492,0.13861595811386268
CID-00064,Existing,34,F,2,Graduate,Married,Less than $40K,Blue,30,4,4,2,1981.6999999999998,754,1624.8488480554113,0.6395264110122095,2421,90,2.8670389573524346,0.08136633426738604
CID-00065,Existing,61,F,0,College,Married,Unknown,Blue,53,6,3,4,4674.0,1899,2972.8723102910676,0.9421179228432098,3352,93,2.7242480940808362,0.7820819221415972
CID-00066,Existing,18,F,0,Graduate,Married,$80K - $120K,Platinum,55,1,0,1,9534.0,542,2626.7202700071157,1.1042363816552832,4194,67,2.4301754690843467,0.2643014362445902
CID-00067,Existing,20,M,2,Uneducated,Married,$120K +,Blue,55,5,0,3,2572.5,1974,848.4030503110658,0.8709501318685495,1296,12,2.474043284944716,0.30846992151828717
CID-00068,Existing,63,M,3,Unknown,Married,$60K - $80K,Blue,40,5,1,2,5728.0,2341,4454.903078090813,1.1457981863071747,2785,64,1.696186521307113,0.41148590959049397
CID-00069,Existing,43,F,5,Graduate,Married,$80K - $120K,Blue,49,2,3,3,7318.5,1048,4549.2660399357155,1.526158405964613,3488,70,1.348747790125672,0.3887593719996328
CID-00070,Attrited,48,F,1,High School,Married,$80K - $120K,Gold,55,4,2,3,12696.75,887,4668.484725069521,1.4723329846031734,6729,85,1.9669353778641194,0.38392892432889586
CID-00071,Existing,25,F,5,Graduate,Married,$80K - $120K,Blue,17,5,1,2,3249.0,1548,1473.4931596170193,1.206786945433545,2974,62,1.3859648215253997,0.40458306288931145
CID-00072,Existing,60,M,5,Graduate,Married,$40K - $60K,Blue,14,2,2,4,9799.0,2351,9119.292439352173,1.4965720425580986,-545,78,2.46457708600704,0.28666299051122296
CID-00073,Existing,63,F,5,Graduate,Divorced,Less than $40K,Gold,43,2,3,1,4530.75,116,4314.109132807332,0.5148665761556058,2937,99,1.693432471839417,0.6582368757794664
CID-00074,Existing,25,M,5,Uneducated,Single,$80K - $120K,Gold,59,6,2,4,15572.25,1202,6151.250572810143,2.360940887737416,6178,73,2.2698730996337213,0.7799161707270544
CID-00075,Existing,52,F,2,High School,Unknown,$120K +,Blue,27,1,1,5,7347.0,1385,3225.030293514284,1.7424503621076544,2128,88,1.678828068022563,0.41308000167592224
CID-00076,Existing,56,F,5,Unknown,Married,$40K - $60K,Blue,44,6,4,4,4932.0,1894,3205.7793819590815,2.063776812046173,4572,80,1.4995316947009565,0.33078395765079377
CID-00077,Existing,45,F,1,Unknown,Married,$60K - $80K,Gold,13,4,1,1,4773.0,1462,1838.563575981451,1.9298190427459965,8040,16,1.8451940195364296,0.7355232392988107
CID-00078,Existing,68,F,3,Unknown,Married,$40K - $60K,Blue,54,5,1,0,9229.0,1766,7695.0471986626835,2.249457494943214,5707,85,0.747052141474261,0.11434858429315632
CID-00079,Existing,21,M,2,Graduate,Married,$40K - $60K,Blue,37,1,0,2,9680.0,1620,8364.597873693812,2.9298093308646393,3087,60,2.038595150481667,0.03202936649951459
CID-00080,Existing,33,F,5,Post-Graduate,Unknown,$40K - $60K,Silver,46,3,1,2,3989.0,1411,3370.2278023874637,2.7880495160494583,1094,89,1.5610779753026298,0.3639072309597647
CID-00081,Attrited,30,F,4,High School,Single,$40K - $60K,Blue,39,4,3,4,5520.0,1928,4399.173268280025,2.205592275498769,544,66,1.1103099252577864,0.45324144233126784
CID-00082,Existing,37,M,2,Post-Graduate,Married,$60K - $80K,Blue,54,2,1,2,4998.0,1489,4042.9466864207106,1.4420332008947292,6023,79,1.63929962242724,0.3941369756849453
CID-00083,Existing,68,F,3,Uneducated,Single,$40K - $60K,Blue,22,1,2,5,7503.0,1653,7496.001858867549,3.3334459386701587,3255,99,2.8512948657018655,0.14459209520112956
CID-00084,Existing,22,M,5,High School,Single,$60K - $80K,Silver,57,5,2,2,8593.0,1485,7929.98519166971,0.6096658289723638,3794,37,2.0871749776498323,0.7932596778692439
CID-00085,Existing,54,F,0,High School,Married,Less than $40K,Blue,35,2,2,3,1619.8,1153,802.715529743042,1.0207354062337863,3871,39,2.2241453655907577,0.7791217466499128
CID-00086,Existing,37,M,2,College,Single,$60K - $80K,Gold,27,2,1,2,1500.0,2213,0.0,3.2939670254400335,526,28,2.90853929967443,0.4366264463687446
CID-00087,Existing,41,F,4,High School,Divorced,Less than $40K,Blue,36,5,3,2,2887.5,2520,2955.422983678994,2.123787012770193,8279,87,1.0994476669512374,0.20727397460326646
CID-00088,Existing,53,M,2,High School,Married,$40K - $60K,Blue,34,3,0,3,3080.0,1324,2407.511255525017,2.0931477615977268,275,95,1.7244125130378727,0.46879972373843537
CID-00089,Attrited,51,M,0,Post-Graduate,Married,$60K - $80K,Blue,50,6,2,5,4300.0,595,2768.9232725612273,2.269729738406177,-2835,41,0.6274641004288971,0.7131455725250883
CID-00090,Existing,62,M,2,College,Married,$80K - $120K,Blue,46,4,2,4,9261.0,2238,4807.2748806504815,1.0216107685467202,5042,46,2.907285770986686,0.06860662580098814
CID-00091,Existing,65,M,4,Post-Graduate,Single,$120K +,Blue,36,4,1,4,10858.5,778,7028.498537810979,0.7337679121987215,4360,32,2.463455519488566,0.7944450107358507
CID-00092,Existing,51,F,3,Uneducated,Divorced,Unknown,Blue,52,2,1,5,3462.8999999999996,2601,3875.2935731789617,1.04717260587678,2322,31,1.6526761202234952,0.7929903593768107
CID-00093,Existing,36,M,4,Post-Graduate,Married,Unknown,Blue,50,1,2,2,6737.0,2458,5682.066810362352,1.4859747491648425,3725,84,1.769239924849837,0.1374862155979932
CID-00094,Existing,34,F,3,High School,Married,$40K - $60K,Blue,56,3,4,6,4382.0,1541,3685.8556984710017,3.128776478499917,4152,37,3.413448630245581,0.7174728482885943
CID-00095,Existing,22,F,4,Graduate,Single,$80K - $120K,Blue,44,3,3,3,11404.5,815,6076.8215678830875,3.379004285658896,4212,82,1.089508160589304,0.23436219289107044
CID-00096,Existing,42,F,1,Graduate,Married,$40K - $60K,Blue,33,2,4,7,2480.0,1592,1965.7469264100014,1.3844046800920373,7881,44,2.1912999064925414,0.8062652850943051
CID-00097,Existing,35,F,2,College,Single,$80K - $120K,Blue,21,6,1,6,7900.5,1364,3970.2185202386927,2.922967081456261,3987,33,3.336808415743377,0.6842988301545161
CID-00098,Existing,67,M,2,College,Married,$80K - $120K,Blue,12,1,2,4,1878.0,1187,1034.102620208128,1.0804470753670192,2849,68,1.1740102872961453,0.5251630009729303
CID-00099,Existing,25,M,0,Unknown,Married,$120K +,Blue,57,6,1,4,8410.5,2727,5213.150944389711,2.921782703676631,4979,36,1.027641497230469,0.1679178153925075
CID-00100,Existing,44,M,1,Post-Graduate,Married,Unknown,Blue,49,6,3,4,5572.0,1865,4819.143377397717,2.2863291173417464,4358,43,2.950050008492383,0.537154228413266
CID-00101,Existing,32,M,0,High School,Divorced,Unknown,Blue,33,5,5,5,1978.0,2078,368.6866626775991,3.1117507613468263,6372,96,1.710199777493572,0.13269483945958524
CID-00102,Existing,62,F,2,Graduate,Single,$60K - $80K,Blue,43,6,4,4,5234.0,477,4841.107533658432,0.8513397030873414,7554,30,1.0712992520309723,0.3105092541775064
CID-00103,Existing,30,M,0,College,Married,$120K +,Blue,34,5,5,1,8811.0,2625,4871.524156323308,1.982630232111493,2048,15,1.8481773532712946,0.08281733829083578
CID-00104,Existing,33,F,3,Unknown,Married,$40K - $60K,Blue,41,2,1,5,7141.0,767,6291.520185414759,1.850561406550331,5082,94,3.473675304531529,0.23817886035750704
CID-00105,Attrited,39,M,1,Unknown,Unknown,Less than $40K,Silver,34,6,2,2,5422.9,1344,6576.976810516085,2.4047512401461217,3555,20,1.3301630351891425,0.13186000898130057
CID-00106,Existing,37,F,4,College,Married,$60K - $80K,Silver,54,1,1,2,5070.0,1531,4679.758321973268,1.0549109146821931,6458,13,2.7248093589106177,0.4433124303643933
CID-00107,Existing,30,M,3,Graduate,Married,Unknown,Blue,58,3,1,5,5738.0,2060,4691.0113717578115,3.293548534524956,4881,96,0.7452113430621239,0.5700782448852497
CID-00108,Existing,37,M,5,Graduate,Married,$80K - $120K,Blue,23,3,4,1,3459.0,2441,628.2939829766865,2.253638954475876,3276,22,2.570905994362933,0.14317692923456082
CID-00109,Existing,19,F,4,Graduate,Married,$40K - $60K,Silver,30,3,2,5,5219.0,1830,3384.1920836336726,3.437173506922408,4887,67,2.928811825130237,0.5412168466241676
CID-00110,Existing,52,M,0,College,Married,$80K - $120K,Gold,18,4,2,2,12912.75,2026,5534.127319329586,0.5601123775448301,1273,35,1.8485142079567518,0.5314701122329185
CID-00111,Existing,64,F,2,Post-Graduate,Married,Less than $40K,Blue,38,3,2,3,2957.5,-320,2834.374542512528,0.789841994368456,8036,51,2.7915448336923747,0.04043674887178453
CID-00112,Existing,36,M,3,College,Single,$60K - $80K,Silver,37,5,5,6,5162.0,2353,3887.0146148491367,3.319524401792533,3025,65,2.9537210925249466,0.5749227827744382
CID-00113,Attrited,62,M,1,Post-Graduate,Unknown,$40K - $60K,Blue,29,1,2,5,5838.0,1697,4663.476644591242,1.5025706978266171,1488,50,1.7299137485526264,0.2680963818924153
CID-00114,Existing,54,F,4,Graduate,Married,Less than $40K,Blue,39,3,2,4,1838.8999999999999,1392,1549.514040910218,0.753609446951292,1705,32,2.3723935154713582,0.012231706156780996
CID-00115,Existing,23,M,5,Post-Graduate,Single,$40K - $60K,Blue,22,6,0,4,6179.0,1735,4113.4274474060385,3.1318111411290905,4526,42,1.0287367065458564,0.4090918886790112
CID-00116,Attrited,31,F,3,Post-Graduate,Divorced,$80K - $120K,Blue,13,2,2,5,8395.5,1633,4929.756097741255,2.921648816031327,4133,77,3.422032547475146,0.30844150624054856
CID-00117,Existing,21,M,2,Unknown,Divorced,$60K - $80K,Blue,28,6,1,4,4321.0,1938,4254.605957352562,1.7958849188044264,3355,68,0.804283554670077,0.6715733136201121
CID-00118,Existing,39,F,1,Post-Graduate,Married,Less than $40K,Blue,57,2,1,4,4758.599999999999,683,5497.280582487274,0.9432147115382458,4106,30,2.2882518933124976,0.4814860535911497
CID-00119,Attrited,68,M,1,Graduate,Divorced,$60K - $80K,Silver,40,5,2,3,4271.0,1359,3745.9209591167723,2.2593156744971443,6179,57,1.9644052843607416,0.1667072595998869
CID-00120,Existing,56,M,4,High School,Married,$120K +,Silver,43,3,1,8,13246.5,698,8794.607144656382,0.9462558126754564,5936,11,1.5882924617535488,0.572988778109521
CID-00121,Existing,53,M,3,High School,Single,Unknown,Blue,26,5,2,3,6351.0,2033,5306.862163490914,1.4670315957396416,5326,86,1.3543479994946397,0.6491602180211904
CID-00122,Attrited,51,M,3,College,Married,$120K +,Blue,29,5,2,6,7395.0,1932,4107.603776935395,3.132847618597013,1985,29,2.287825097926634,0.5600597978332076
CID-00123,Existing,44,M,1,High School,Married,Less than $40K,Blue,39,5,2,5,4536.7,1137,5918.00552891185,2.630685090960169,-554,97,3.3135542262273785,0.26260999303260035
CID-00124,Existing,24,F,0,Post-Graduate,Single,$40K - $60K,Blue,38,4,1,1,6804.0,208,6250.350166033228,2.753940954498685,4520,26,2.2396375122398644,0.16230485675899425
CID-00125,Existing,20,F,1,Graduate,Married,$40K - $60K,Gold,52,3,3,1,4714.5,-72,1917.7684730328456,1.0576324118238682,4334,93,1.1825989825378103,0.5406721842911526
CID-00126,Existing,64,M,2,High School,Single,$60K - $80K,Blue,58,2,4,6,4658.0,1884,3101.3766203958894,0.7275698841807525,5255,77,1.8008840561704402,0.5554523621444678
CID-00127,Existing,50,M,3,Uneducated,Married,$80K - $120K,Blue,44,6,2,1,5875.5,2011,3868.7158659653423,1.1982383571637802,5837,32,1.7143358510528732,0.16744134820736445
CID-00128,Attrited,19,M,4,Post-Graduate,Married,$40K - $60K,Silver,55,4,4,3,9458.0,1163,8022.217149686163,2.584894529926043,5049,89,2.2278428873013327,0.5902268122223369
CID-00129,Existing,59,M,3,Graduate,Married,Unknown,Silver,21,5,4,2,1797.0,930,129.28302683370293,3.133990860705808,5069,40,1.0317138215049553,0.6971674984289064
CID-00130,Existing,33,M,1,College,Single,$120K +,Blue,35,2,1,1,9498.0,-8,5405.2400236942785,2.143978749055669,5281,79,3.4338192765121374,0.2672853272841464
CID-00131,Existing,42,M,2,High School,Single,$60K - $80K,Silver,45,6,4,2,3744.0,-503,3485.1915143271594,2.870017693628541,5769,49,1.3880938727803964,0.8012032294354808
CID-00132,Existing,32,F,0,Unknown,Married,$60K - $80K,Gold,54,5,1,5,5061.0,2567,2826.057768521887,2.052885234523752,5350,98,0.5335969686141759,0.784162533037153
CID-00133,Existing,41,F,3,Uneducated,Divorced,$60K - $80K,Blue,38,4,0,3,5770.0,1210,5523.142907992971,2.944287850501354,4274,28,1.113253758642716,0.6520699891159123
CID-00134,Existing,32,M,1,High School,Married,$60K - $80K,Blue,31,1,4,1,5268.0,1873,4825.019171435279,3.378417003767673,2754,31,2.0067428776993594,0.37586201840256594
CID-00135,Attrited,48,M,5,Graduate,Married,$120K +,Blue,52,5,3,2,9852.0,1913,5523.771640121776,0.7467737688103118,2836,60,2.5842712373627412,0.5441894535040525
CID-00136,Existing,31,F,1,Unknown,Married,$40K - $60K,Silver,36,5,2,4,5528.0,780,4674.977343163623,0.5460215118223261,7655,57,2.672798712350013,0.5762035136442051
CID-00137,Existing,31,M,1,Graduate,Married,$80K - $120K,Blue,37,6,1,6,5164.5,1205,2151.0957975421584,3.4027576878384327,5178,99,3.004288936044159,0.047926846575365493
CID-00138,Existing,23,F,2,Graduate,Married,Less than $40K,Blue,54,2,5,2,4960.2,2619,6105.496722869222,3.3154426876875713,5797,60,3.22088562565136,0.30301183017453864
CID-00139,Existing,31,F,1,Post-Graduate,Single,$60K - $80K,Blue,32,2,4,1,5106.0,1054,4379.42870222827,0.8910488952560945,3128,35,0.6945696022074002,0.16832885426958016
CID-00140,Attrited,34,M,1,Uneducated,Single,$80K - $120K,Blue,24,5,2,3,4881.0,1539,2336.5124264519022,2.732193051239817,-279,60,2.1169756448463906,0.4024698340581174
CID-00141,Attrited,35,M,1,Graduate,Single,Less than $40K,Silver,44,3,3,3,2335.8999999999996,1814,2929.873705534873,2.352990884388347,5557,57,2.093092218679864,0.6788676412727302
CID-00142,Existing,37,F,3,Uneducated,Unknown,Less than $40K,Blue,21,2,3,2,2984.1,2339,3383.7151921661416,1.8181004439356254,3248,13,2.9605809233911797,0.14422370394755193
CID-00143,Existing,68,F,1,Graduate,Single,Less than $40K,Silver,39,1,4,3,5730.9,2148,7019.8751392871745,1.783418871840186,5363,64,2.187370804791392,0.06966483379650917
CID-00144,Existing,34,M,2,Uneducated,Single,$40K - $60K,Blue,44,1,4,6,1000.0,581,0.0,1.7172586718937715,3646,74,1.041973517840085,0.845006241773012
CID-00145,Existing,33,F,5,Unknown,Married,$80K - $120K,Platinum,22,5,4,1,18930.0,2041,4862.733546630567,2.4792944653084033,4239,42,1.329669866344657,0.7398313718866613
CID-00146,Existing,57,M,3,Graduate,Married,Unknown,Blue,25,2,3,0,6166.0,860,5150.610950032988,2.971081480006133,5940,73,1.4918706105099797,0.44543767336670653
CID-00147,Existing,56,M,5,Graduate,Married,$40K - $60K,Blue,31,1,2,1,6643.0,998,4931.602214970464,2.519651053595051,3179,97,2.5700569108896185,0.4791590478400841
CID-00148,Existing,69,F,1,Graduate,Married,Less than $40K,Silver,47,4,0,3,3413.8999999999996,664,4310.351685006331,1.817576281477984,3688,38,1.3859608232914082,0.5867772136466747
CID-00149,Existing,49,F,0,Doctorate,Unknown,$60K - $80K,Blue,52,6,0,2,4341.0,1611,3518.107283046321,0.827194725170619,1096,41,1.4183792028051905,0.24576691799853806
